match_key,career_match_index,season,season_match_number,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,match_type,game_importance,game_importance_score,result,set_scores,set_result,set_count,set_diff,comeback_win,revenge_match,redemption_game,location,injured,sick,forfeited,favorite_match,birthday_match,is_conference,is_playoffs,is_tournament,is_championship,maxpreps
SO_10-06_TSD_1,57,SO,21,2017-10-06,Friday,6,0,False,4,1,4,True,False,1,Texas School for the Deaf,TSD,1,False,False,regular,low,0,L,"13-25,10-25",0-2,2,-2,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-06-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-texas-school-for-the-deaf.htm?c=gxcwFT9oGkmglyPAEnMJeQ
SO_10-06_MSD_2,58,SO,22,2017-10-06,Friday,6,0,False,4,2,4,False,False,1,Maryland School for the Deaf,MSD,1,False,True,regular,low,0,L,"21-25,19-25",0-2,2,-2,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-06-2017/volleyball-17/maryland-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Mf8qEjwq6k-qnIN5HvixWw
SO_10-07_CSDR_1,59,SO,23,2017-10-07,Saturday,6,1,True,7,1,3,True,False,1,California School for the Deaf-Riverside,CSDR,2,True,False,regular,low,0,L,"25-20,19-25,9-15",1-2,3,-1,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-07-2017/volleyball-17/california-school-for-the-deaf-riverside-vs-model-secondary-school-for-the-deaf.htm?c=paUazO1QJkO9ZedkCKvkeg#tab=box-score&schoolid=
SO_10-07_ISD_2,60,SO,24,2017-10-07,Saturday,6,0,False,7,2,3,False,False,1,Indiana School for the Deaf,ISD,1,False,False,regular,low,0,L,"14-25,17-25",0-2,2,-2,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-07-2017/volleyball-17/indiana-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=BX9GBKTUVU6seVpehhWDvw#tab=box-score&schoolid=
SO_10-07_CSDF_3,61,SO,25,2017-10-07,Saturday,6,0,False,7,3,3,False,True,1,California School for the Deaf,CSDF,2,True,False,regular,low,0,L,"17-25,25-21,10-15",1-2,3,-1,False,False,False,neutral,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/10-07-2017/volleyball-17/california-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=CIFqlGLbYUSJTqp2kWgLpQ#tab=box-score&schoolid=
SO_10-10_BURKE_1,62,SO,26,2017-10-10,Tuesday,7,3,False,1,1,1,,,1,Burke,BURKE,1,False,False,regular,low,0,W,"25-13,25-13,26-24",3-0,3,3,False,False,False,home,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/10-10-2017/volleyball-17/burke-vs-model-secondary-school-for-the-deaf.htm?c=qRN855amgEGJuhLVyPzHdg#tab=box-score&schoolid=
SO_10-12_CGC_1,63,SO,27,2017-10-12,Thursday,7,2,False,2,1,1,,,1,Clinton Grace Christian,CGC,1,False,False,regular,low,0,W,"25-8,26-24,25-16",3-0,3,3,False,False,False,away,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/10-12-2017/volleyball-17/clinton-grace-christian-vs-model-secondary-school-for-the-deaf.htm?c=y9w5ED6PvUiDFWFn1eR4IQ#tab=box-score&schoolid=
SO_10-14_BELL_1,64,SO,28,2017-10-14,Saturday,7,2,False,2,1,1,,,1,Bell,BELL,1,False,False,regular,low,0,W,"25-8,25-18,25-15",3-0,3,3,False,False,False,home,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/10-14-2017/volleyball-17/bell-vs-model-secondary-school-for-the-deaf.htm?c=c9OwnbMPjUCLQC3kcrOvDQ#tab=box-score&schoolid=
SO_10-17_FIELD_1,65,SO,29,2017-10-17,Tuesday,8,3,False,1,1,1,,,1,Field,FIELD,1,False,False,regular,low,0,W,"25-4,25-18,25-15",3-0,3,3,False,False,False,home,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/10-17-2017/volleyball-17/field-vs-model-secondary-school-for-the-deaf.htm?c=8w7Gs_HmcUyUJ_S9f3kqHw#tab=box-score&schoolid=
SO_10-18_BIHS_1,66,SO,30,2017-10-18,Wednesday,8,1,True,2,1,1,,,1,Bishop Ireton,BIHS,1,False,False,regular,low,0,L,"13-25,9-25,24-26",0-3,3,-3,False,False,False,away,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/10-18-2017/volleyball-17/bishop-ireton-vs-model-secondary-school-for-the-deaf.htm?c=ewkFjQ4ws0izvro7VJS3Mw#tab=box-score&schoolid=
SO_10-20_KAA_1,67,SO,31,2017-10-20,Friday,8,2,False,2,1,1,,,1,King Abdullah Academy,KAA,2,True,False,regular,low,0,L,"15-25,12-25,14-25",0-3,3,-3,False,False,False,away,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/10-20-2017/volleyball-17/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=TKdaUiuchkKoNHv-qxDIgw#tab=box-score&schoolid=
SO_10-23_WCA_1,68,SO,32,2017-10-23,Monday,8,3,False,1,1,1,,,1,Washington Christian Academy,WCA,2,True,False,playoff,high,2,W,"25-13,25-12,25-16",3-0,3,3,False,False,False,home,False,False,False,False,False,True,True,True,False,https://www.maxpreps.com/games/10-23-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=TqhVQMTbjkSmgW_8cVZouA#tab=box-score&schoolid=
SO_10-25_BURKE_1,69,SO,33,2017-10-25,Wednesday,9,2,False,2,1,1,,,1,Burke,BURKE,2,True,False,playoff,high,2,W,"25-14,25-17,25-19",3-0,3,3,False,False,False,home,False,False,False,False,False,True,True,True,False,https://www.maxpreps.com/games/10-25-2017/volleyball-17/burke-vs-model-secondary-school-for-the-deaf.htm?c=t8WQCuybzE2a7UwSAoYrzQ#tab=box-score&schoolid=
SO_10-30_WIS_1,70,SO,34,2017-10-30,Monday,9,5,False,1,1,1,,,1,Washington International,WIS,2,True,True,championship,high,3,L,"15-25,25-22,18-25,27-25,5-15",2-3,5,-1,False,False,False,neutral,False,False,False,False,False,True,True,True,True,https://www.maxpreps.com/games/10-30-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-international.htm?c=2xDX85iRNUeMz7kyjsoDdg#tab=box-score&schoolid=
SO_11-07_BELL_1,71,SO,35,2017-11-07,Tuesday,11,8,False,1,1,1,,,1,Bell,BELL,2,True,False,injured,low,0,W,"25-22,17-25,25-23,25-11",3-1,4,2,False,False,False,away,True,False,False,False,False,False,True,True,False,https://www.maxpreps.com/games/11-07-2017/volleyball-17/bell-vs-model-secondary-school-for-the-deaf.htm?c=DCmDMylQvk6uHxM8pPAJRA#tab=box-score&schoolid=
SO_11-08_WILSON_1,72,SO,36,2017-11-08,Wednesday,11,1,True,2,1,1,,,1,Woodrow Wilson,WILSON,2,True,False,injured,low,0,L,"10-25,8-25,10-25",0-3,3,-3,False,False,False,away,True,False,False,False,False,False,True,True,False,https://www.maxpreps.com/games/11-08-2017/volleyball-17/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=q7lwwGAjd0KkLuhmfcTsHA#tab=box-score&schoolid=
JR_08-30_SAA_1,73,JR,1,2018-08-30,Thursday,1,295,False,1,1,1,,,1,Spencerville Adventist Academy,SAA,1,False,False,regular,low,0,W,"19-25,25-9,25-14,25-21",3-1,4,2,True,False,False,away,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/08-30-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-spencerville-adventist-academy.htm?c=Trv2Kp4x9EKdJq0e1oDbzw
JR_09-01_PALLOTTI_1,74,JR,2,2018-09-01,Saturday,1,2,False,4,1,3,True,False,1,Pallotti,PALLOTTI,1,False,False,regular,low,0,W,"25-21,25-18",2-0,2,2,False,False,False,home,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-01-2018/volleyball-18/model-secondary-school-for-the-deaf-vs-pallotti.htm?c=EgDQMP6Z5UKxE5FvP-M4Dw
