result,date,season,opponent_slug,opponent,match_key,ace_pct_serving,aces_per_set_serving,aces_serving,assisted_blks_blocking,assists_ball_handling,assists_per_set_ball_handling,ball_handling_att_ball_handling,ball_handling_err_ball_handling,blk_err_blocking,blks_per_set_blocking,dig_err_digging,digs_digging,digs_per_set_digging,hit_pct_attacking,kill_att_attacking,kill_err_attacking,kill_pct_attacking,kills_attacking,kills_per_set_attacking,points_serving,receiving_err_serve_receiving,receiving_per_set_serve_receiving,receiving_serve_receiving,serve_att_serving,serve_err_serving,serve_pct_serving,solo_blks_blocking,total_blks_blocking
W 3-2,2019-08-29,SR,MARET,Maret,SR_08-29_MARET_1,42.4,2.8,14,0,3,0.6,16,1,0,0.0,3,20,4.0,0.219,32,4,34.4,11,2.2,24,2,4.8,24,33,2,93.9,0,0
W 3-0,2019-09-03,SR,DCI,DC International,SR_09-03_DCI_1,33.3,2.0,6,0,2,0.7,13,0,0,0.3,0,14,4.7,0.1,30,7,33.3,10,3.3,12,3,4.0,12,18,2,88.9,1,1
L 0-3,2019-09-05,SR,CL,Covenant Life,SR_09-05_CL_1,0.0,0.0,0,0,0,0.0,5,0,1,0.0,2,10,3.3,0.0,35,5,14.3,5,1.7,1,3,4.0,12,6,0,100.0,0,0
L 0-2,2019-09-07,SR,BIHS,Bishop Ireton,SR_09-07_BIHS_1,0.0,0.0,0,0,0,0.0,3,0,0,0.0,0,6,3.0,0.0,21,5,23.8,5,2.5,3,1,3.5,7,7,1,85.7,0,0
W 2-1,2019-09-07,SR,HIGHLAND,Highland,SR_09-07_HIGHLAND_1,18.2,0.7,2,0,0,0.0,1,0,0,0.0,0,21,7.0,0.121,33,3,21.2,7,2.3,13,0,6.7,20,11,1,90.9,0,0
L 1-2,2019-09-07,SR,EPISCOPAL,Episcopal,SR_09-07_EPISCOPAL_1,23.1,1.0,3,0,0,0.0,5,0,0,0.0,0,9,3.0,-0.032,31,8,22.6,7,2.3,9,1,4.3,13,13,1,92.3,0,0
W 3-0,2019-09-10,SR,SAA,Spencerville Adventist Academy,SR_09-10_SAA_1,31.3,1.7,5,0,0,0.0,4,1,0,0.0,0,12,4.0,0.4,15,0,40.0,6,2.0,10,0,5.3,16,16,3,81.2,0,0
L 0-3,2019-09-12,SR,BIHS,Bishop Ireton,SR_09-12_BIHS_1,0.0,0.0,0,0,0,0.0,4,1,0,0.0,2,10,3.3,0.087,23,2,17.4,4,1.3,3,4,5.0,15,9,0,100.0,0,0
W 2-0,2019-09-14,SR,SCA,Shalom Christian Academy,SR_09-14_SCA_1,0.0,0.0,0,0,1,0.5,1,0,0,0.0,1,6,3.0,0.269,26,1,30.8,8,4.0,2,1,5.5,11,6,1,83.3,0,0
T 1-1,2019-09-14,SR,MSD,Maryland School for the Deaf,SR_09-14_MSD_1,22.2,1.0,2,0,0,0.0,2,0,0,0.5,0,17,8.5,0.167,24,2,25.0,6,3.0,5,0,6.5,13,9,2,77.8,1,1
L 0-2,2019-09-14,SR,SJCP,St. John's Catholic Prep,SR_09-14_SJCP_1,12.5,0.5,1,1,1,0.5,2,0,0,0.5,0,8,4.0,0.0,17,4,23.5,4,2.0,4,4,4.0,8,8,1,87.5,0,1
W 2-1,2019-09-14,SR,MSD,Maryland School for the Deaf,SR_09-14_MSD_1,11.1,0.3,1,0,0,0.0,3,0,0,0.0,0,10,3.3,0.238,21,0,23.8,5,1.7,3,2,5.0,15,9,1,88.9,0,0
W 2-0,2019-09-14,SR,NEW,New Life Christian School,SR_09-14_NEW_1,30.0,1.5,3,0,0,0.0,1,0,0,0.0,0,7,3.5,0.333,12,0,33.3,4,2.0,8,1,2.5,5,10,1,90.0,0,0
W 3-1,2019-09-17,SR,WCA,Washington Christian Academy,SR_09-17_WCA_1,30.8,2.0,8,0,0,0.0,3,0,1,0.0,2,24,6.0,0.222,36,5,36.1,13,3.3,19,2,3.8,15,26,3,88.5,0,0
W 3-0,2019-09-19,SR,BURKE,Burke,SR_09-19_BURKE_1,53.8,4.7,14,0,2,0.7,2,0,0,0.0,0,2,0.7,0.312,16,2,43.8,7,2.3,22,0,1.3,4,26,2,92.3,0,0
L 1-2,2019-09-21,SR,DCI,DC International,SR_09-21_DCI_1,12.5,0.3,1,0,0,0.0,1,0,0,0.3,2,6,2.0,0.118,34,6,29.4,10,3.3,4,0,5.7,17,8,1,87.5,1,1
W 2-0,2019-09-21,SR,SWW,School Without Walls,SR_09-21_SWW_1,36.4,2.0,4,0,0,0.0,1,0,0,0.0,0,7,3.5,0.0,4,1,25.0,1,0.5,9,0,0.5,1,11,0,100.0,0,0
W 2-0,2019-09-21,SR,KAA,King Abdullah Academy,SR_09-21_KAA_1,50.0,2.0,4,0,0,0.0,0,0,0,0.0,0,4,2.0,0.545,11,0,54.5,6,3.0,6,0,1.5,3,8,2,75.0,0,0
W 2-0,2019-09-21,SR,BULLIS,Bullis,SR_09-21_BULLIS_1,54.5,3.0,6,1,1,0.5,2,0,0,0.5,0,7,3.5,0.095,21,2,19.0,4,2.0,9,0,2.5,5,11,0,100.0,0,1
L 0-2,2019-09-21,SR,BULLIS,Bullis,SR_09-21_BULLIS_1,0.0,0.0,0,0,0,0.0,1,0,0,0.0,0,10,5.0,0.235,17,0,23.5,4,2.0,1,0,6.0,12,5,1,80.0,0,0
W 3-0,2019-09-24,SR,FIELD,Field,SR_09-24_FIELD_1,22.7,1.7,5,0,0,0.0,1,0,1,0.0,0,13,4.3,0.409,22,3,54.5,12,4.0,16,0,4.7,14,22,1,95.5,0,0
W 3-0,2019-09-25,SR,SJDS,Smith Jewish Day School,SR_09-25_SJDS_1,23.5,1.3,4,0,0,0.0,1,0,0,0.0,0,18,6.0,0.176,17,4,41.2,7,2.3,12,3,5.3,16,17,0,100.0,0,0
L 1-3,2019-09-27,SR,GTD,Georgetown Day,SR_09-27_GTD_1,23.1,0.8,3,0,1,0.3,4,0,0,0.0,2,21,5.3,0.111,45,3,17.8,8,2.0,6,4,7.5,30,13,1,92.3,0,0
W 3-0,2019-09-30,SR,SSFS,Sandy Spring Friends,SR_09-30_SSFS_1,41.2,2.3,7,0,0,0.0,0,0,0,0.0,0,8,2.7,0.286,14,2,42.9,6,2.0,14,0,0.7,2,17,1,94.1,0,0
W 2-0,2019-10-04,SR,ISD,Indiana School for the Deaf,SR_10-04_ISD_1,37.5,1.5,3,0,0,0.0,1,0,0,0.0,2,8,4.0,0.233,30,4,36.7,11,5.5,5,1,4.5,9,8,0,100.0,0,0
W 2-0,2019-10-04,SR,CSDF,California School for the Deaf,SR_10-04_CSDF_1,57.1,2.0,4,0,0,0.0,1,0,0,0.0,0,7,3.5,0.16,25,3,28.0,7,3.5,5,0,3.0,6,7,0,100.0,0,0
L 0-2,2019-10-04,SR,TSD,Texas School for the Deaf,SR_10-04_TSD_1,14.3,0.5,1,0,0,0.0,0,0,0,0.0,0,8,4.0,-0.182,22,6,9.1,2,1.0,4,0,8.0,16,7,0,100.0,0,0
W 2-1,2019-10-04,SR,CSDR,California School for the Deaf-Riverside,SR_10-04_CSDR_1,23.1,1.0,3,0,0,0.0,5,1,0,0.0,2,15,5.0,0.292,24,3,41.7,10,3.3,8,0,4.0,12,13,0,100.0,0,0
W 2-0,2019-10-05,SR,ISD,Indiana School for the Deaf,SR_10-05_ISD_1,0.0,0.0,0,0,0,0.0,2,0,0,0.0,1,9,4.5,0.107,28,4,25.0,7,3.5,3,2,5.0,10,6,0,100.0,0,0
L 0-2,2019-10-05,SR,TSD,Texas School for the Deaf,SR_10-05_TSD_1,16.7,0.5,1,0,0,0.0,0,0,0,0.0,3,9,4.5,0.065,31,5,22.6,7,3.5,2,2,7.5,15,6,0,100.0,0,0
W 3-0,2019-10-08,SR,OAKCREST,Oakcrest,SR_10-08_OAKCREST_1,30.0,1.0,3,0,0,0.0,2,0,0,0.0,1,8,2.7,0.464,28,1,50.0,14,4.7,4,2,8.0,24,10,2,80.0,0,0
W 3-0,2019-10-10,SR,BHA,Berman Hebrew Academy,SR_10-10_BHA_1,36.4,1.3,4,1,0,0.0,0,0,0,0.3,0,15,5.0,0.5,8,1,62.5,5,1.7,7,0,2.7,8,11,2,81.8,0,1
L 1-2,2019-10-12,SR,ROOSEVELT,Roosevelt,SR_10-12_ROOSEVELT_1,22.2,1.0,2,0,0,0.0,3,0,0,0.0,1,16,8.0,0.1,20,3,25.0,5,2.5,6,1,4.0,8,9,0,100.0,0,0
W 2-0,2019-10-12,SR,MACA,Mount Airy Christian Academy,SR_10-12_MACA_1,28.6,1.0,2,0,1,0.5,4,0,0,0.0,0,10,5.0,0.263,19,2,36.8,7,3.5,4,0,5.0,10,7,2,71.4,0,0
L 0-2,2019-10-12,SR,PA,Princess Anne,SR_10-12_PA_1,33.3,0.5,1,0,0,0.0,0,0,0,0.0,2,3,1.5,-0.222,18,7,16.7,3,1.5,1,1,7.5,15,3,0,100.0,0,0
W 2-0,2019-10-12,SR,KAA,King Abdullah Academy,SR_10-12_KAA_1,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0,13,6.5,0.312,16,2,43.8,7,3.5,3,1,7.0,14,7,0,100.0,0,0
W 2-0,2019-10-12,SR,MACA,Mount Airy Christian Academy,SR_10-12_MACA_1,12.5,0.5,1,0,1,0.5,1,0,0,0.0,0,9,4.5,0.346,26,0,34.6,9,4.5,3,1,5.5,11,8,0,100.0,0,0
W 3-0,2019-10-15,SR,WIS,Washington International,SR_10-15_WIS_1,5.9,0.3,1,0,1,0.3,3,0,0,0.0,0,30,10.0,0.286,35,3,37.1,13,4.3,11,1,5.3,16,17,1,94.1,0,0
W 3-0,2019-10-17,SR,BARRIE,Barrie,SR_10-17_BARRIE_1,16.7,0.3,1,0,0,0.0,2,0,0,0.0,0,1,0.3,0.6,10,1,70.0,7,2.3,3,0,2.3,7,6,2,66.7,0,0
W 3-1,2019-10-18,SR,KAA,King Abdullah Academy,SR_10-18_KAA_1,43.8,1.8,7,0,1,0.3,4,0,0,0.0,1,24,6.0,0.195,41,5,31.7,13,3.3,9,2,4.5,18,16,0,100.0,0,0
,2019-10-21,SR,MCLEAN,McLean,SR_10-21_MCLEAN_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 3-0,2019-10-23,SR,BHA,Berman Hebrew Academy,SR_10-23_BHA_1,50.0,2.3,7,0,0,0.0,0,0,0,0.0,0,11,3.7,0.385,13,1,46.2,6,2.0,10,0,3.3,10,14,1,92.9,0,0
W 3-0,2019-10-28,SR,SSFS,Sandy Spring Friends,SR_10-28_SSFS_1,52.9,3.0,9,0,0,0.0,2,0,0,0.0,0,9,3.0,0.138,29,6,34.5,10,3.3,12,0,4.3,13,17,1,94.1,0,0
W 3-0,2019-10-30,SR,WIS,Washington International,SR_10-30_WIS_1,33.3,1.7,5,0,0,0.0,3,0,0,0.0,0,13,4.3,0.214,42,5,33.3,14,4.7,9,0,4.7,14,15,3,80.0,0,0
W 3-0,2019-11-05,SR,BELL,Bell,SR_11-05_BELL_1,44.4,1.3,4,0,1,0.3,2,0,0,0.0,0,10,3.3,0.4,15,2,53.3,8,2.7,5,0,4.0,12,9,3,66.7,0,0
L 0-3,2019-11-06,SR,SJ,St. John's,SR_11-06_SJ_1,11.1,0.3,1,0,0,0.0,5,0,0,0.0,2,7,2.3,0.161,31,4,29.0,9,3.0,3,1,7.0,21,9,1,88.9,0,0
