match_key,career_match_index,career_stage,season,season_match_number,season_stage,date,day_of_week,week_of_season,days_since_last_match,is_back_to_back,match_density_3days,match_no,total_matches_that_day,multi_game_day,first_match_of_day,last_match_of_day,same_day_opponent_seq,opponent,opponent_slug,season_opponent_seq,is_repeat_opponent,rivalry,deaf_school,match_type,game_importance,game_importance_score,event_name,milestone_flag,result,set_scores,set_result,set_count,set_diff,comeback_win,revenge_match,redemption_game,total_points_for,total_points_against,margin_pct,high_margin_win,low_margin_loss,location,injured,sick,forfeited,favorite_match,birthday_match,highlight_match,is_conference,is_playoffs,is_tournament,is_championship,maxpreps
SO_09-09_AIDB_2,41,mid,SO,5,early,2017-09-09,Saturday,2,0,False,3,2,2,True,False,True,1,Alabama School for the Deaf,AIDB,1,False,False,True,regular,low,0,,,W,"25-13,25-9,25-10",3-0,3,3,False,False,False,75,32,0.40186915887850466,False,False,away,False,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-09-2017/volleyball-17/alabama-school-for-the-deaf-vs-model-secondary-school-for-the-deaf.htm?c=Ed5SCbZmm0yep11pUl3Caw#tab=box-score&schoolid=
SO_09-12_WCA_1,42,mid,SO,6,early,2017-09-12,Tuesday,3,3,False,1,1,1,False,,,1,Washington Christian Academy,WCA,1,False,False,False,regular,low,0,,,W,"25-8,25-11,25-12",3-0,3,3,False,False,False,75,31,0.41509433962264153,False,False,away,False,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/09-12-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-washington-christian-academy.htm?c=mujWv8l3TkaJ3JtoMOy_Eg#tab=box-score&schoolid=
SO_09-14_MCLEAN_1,43,mid,SO,7,early,2017-09-14,Thursday,3,2,False,2,1,1,False,,,1,McLean,MCLEAN,1,False,False,False,regular,low,0,,,W,"25-8,25-10,25-12",3-0,3,3,False,False,False,75,30,0.42857142857142855,False,False,home,False,False,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/09-14-2017/volleyball-17/mclean-vs-model-secondary-school-for-the-deaf.htm?c=a9ksnSw3I025jlIEVO8hMw#tab=box-score&schoolid=
SO_09-16_FRIENDS_1,44,mid,SO,8,early,2017-09-16,Saturday,3,2,False,2,1,1,False,,,1,Friends,FRIENDS,1,False,False,False,regular,low,0,,,W,"25-15,25-17,25-8",3-0,3,3,False,False,False,75,40,0.30434782608695654,False,False,home,False,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-16-2017/volleyball-17/friends-vs-model-secondary-school-for-the-deaf.htm?c=sOtrffr4_kOXt-grb9UdRA#tab=box-score&schoolid=
SO_09-18_BHA_1,45,mid,SO,9,early,2017-09-18,Monday,3,2,False,2,1,1,False,,,1,Berman Hebrew Academy,BHA,1,False,False,False,sick,low,0,,,W,"25-10,25-6,25-9",3-0,3,3,False,False,False,75,25,0.5,False,False,home,False,True,False,False,False,False,True,False,False,False,https://www.maxpreps.com/games/09-18-2017/volleyball-17/berman-hebrew-academy-vs-model-secondary-school-for-the-deaf.htm?c=p1PM8dzkQkagnlgqSuigBA#tab=box-score&schoolid=
SO_09-19_BOHS_1,46,mid,SO,10,early,2017-09-19,Tuesday,4,1,True,2,1,1,False,,,1,Bishop O'Connell,BOHS,1,False,False,False,regular,low,0,,,L,"23-25,12-25,16-25",0-3,3,-3,False,False,False,75,51,0.19047619047619047,False,True,away,False,False,False,False,False,False,False,False,False,False,https://www.maxpreps.com/games/09-19-2017/volleyball-17/bishop-oconnell-vs-model-secondary-school-for-the-deaf.htm?c=uXQAlUqtb0ycWUXwSNnzlw#tab=box-score&schoolid=
SO_09-21_GCA_1,47,mid,SO,11,early,2017-09-21,Thursday,4,2,False,2,1,1,False,,,1,Grace Christian Academy,GCA,1,False,False,False,regular,low,0,,,W,"25-20,25-16,25-11",3-0,3,3,False,False,False,75,47,0.22950819672131148,False,False,away,False,False,False,False,True,False,False,False,False,False,https://www.maxpreps.com/games/09-21-2017/volleyball-17/grace-christian-academy-vs-model-secondary-school-for-the-deaf.htm?c=6iQcV7vUBku93iL_EBh5cg#tab=box-score&schoolid=
SO_09-23_KAA_2,48,mid,SO,12,early,2017-09-23,Saturday,4,2,False,5,2,4,True,False,False,1,King Abdullah Academy,KAA,1,False,False,False,regular,low,0,Model Invitational 2017,,W,"25-22,16-25,15-12",2-1,3,1,False,False,True,56,59,-0.02608695652173913,False,False,home,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-23-2017/volleyball-17/king-abdullah-academy-vs-model-secondary-school-for-the-deaf.htm?c=98zdz76AtE2OsGyZS2GxxA
SO_09-23_SIDWELL_1,49,mid,SO,13,mid,2017-09-23,Saturday,4,0,False,5,1,4,True,True,False,1,Sidwell Friends,SIDWELL,1,False,False,False,regular,low,0,Model Invitational 2017,,L,"25-14,21-25,15-13",1-2,3,-1,False,False,False,52,61,-0.07964601769911504,False,True,home,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-23-2017/volleyball-17/model-secondary-school-for-the-deaf-vs-sidwell-friends.htm?c=RHS_XupWN0aw0EUBp_7UvQ#tab=box-score&schoolid=
SO_09-23_WILSON_4,50,mid,SO,14,mid,2017-09-23,Saturday,4,0,False,5,4,4,True,False,True,1,Woodrow Wilson,WILSON,1,False,False,False,regular,low,0,Model Invitational 2017,,L,"8-25,19-25",0-2,2,-2,False,False,False,50,27,0.2987012987012987,False,True,home,False,False,False,False,False,False,False,False,True,False,https://www.maxpreps.com/games/09-23-2017/volleyball-17/jackson-reed-vs-model-secondary-school-for-the-deaf.htm?c=x_o0b4vbv0qqMUYXQm1IBw
