date,match_number,match_id,match_index,season_label,season_year,result,set_result,set_diff,set_count,margin_pct,numeric_result,opponent,weekday,is_duplicate_opponent_on_date,is_tournament,sets_played,kills,kills_per_set,kill_pct,kill_att,kill_err,hit_pct,assists,assists_per_set,ball_handling_att,ball_handling_err,solo_blks,assisted_blks,total_blks,blks_per_set,blk_err,digs,dig_err,digs_per_set,receiving,receiving_err,recieving_per_set,aces,aces_per_set,ace_pct,serve_att,serve_err,serve_pct,points,opponent_original,opponent_unknown,opponent_code
2019-10-08,1,2019_2019-10-08_G1,31,senior,2019,W,3-0,3.0,3.0,1.0,1,Oakcrest,Tuesday,False,False,3,14,4.7,50.0,28,1,0.464,0,0.0,2,0,0,0,0,0.0,0,8,1,2.7,24,2,8.0,3,1.0,30.0,10,2,80.0,4.0,Oakcrest,False,oakcrest
2019-10-10,1,2019_2019-10-10_G1,32,senior,2019,W,3-0,3.0,3.0,1.0,1,Varsity Opponent,Thursday,False,False,3,5,1.7,62.5,8,1,0.5,0,0.0,0,0,0,1,1,0.3,0,15,0,5.0,8,0,2.7,4,1.3,36.4,11,2,81.8,7.0,Varsity Opponent,True,varsity_opponent
2019-10-12,1,2019_2019-10-12_G1,33,senior,2019,L,1-2,-1.0,3.0,-0.3333333333333333,-1,Roosevelt,Saturday,False,True,2,5,2.5,25.0,20,3,0.1,0,0.0,3,0,0,0,0,0.0,0,16,1,8.0,8,1,4.0,2,1.0,22.2,9,0,100.0,6.0,Roosevelt,False,roosevelt
2019-10-12,2,2019_2019-10-12_G2,34,senior,2019,W,2-0,2.0,2.0,1.0,1,Mount Airy Christian Academy,Saturday,True,True,2,7,3.5,36.8,19,2,0.263,1,0.5,4,0,0,0,0,0.0,0,10,0,5.0,10,0,5.0,2,1.0,28.6,7,2,71.4,4.0,Mount Airy Christian Academy,False,mount_airy_christian_academy
2019-10-12,3,2019_2019-10-12_G3,35,senior,2019,L,0-2,-2.0,2.0,-1.0,-1,Princess Anne,Saturday,False,True,2,3,1.5,16.7,18,7,-0.222,0,0.0,0,0,0,0,0,0.0,0,3,2,1.5,15,1,7.5,1,0.5,33.3,3,0,100.0,1.0,Princess Anne,False,princess_anne
2019-10-12,4,2019_2019-10-12_G4,36,senior,2019,W,2-0,2.0,2.0,1.0,1,King Abdullah Academy,Saturday,False,True,2,7,3.5,43.8,16,2,0.312,0,0.0,0,0,0,0,0,0.0,0,13,0,6.5,14,1,7.0,0,0.0,0.0,7,0,100.0,3.0,King Abdullah Academy,False,king_abdullah_academy
2019-10-12,5,2019_2019-10-12_G5,37,senior,2019,W,2-0,2.0,2.0,1.0,1,Mount Airy Christian Academy,Saturday,True,True,2,9,4.5,34.6,26,0,0.346,1,0.5,1,0,0,0,0,0.0,0,9,0,4.5,11,1,5.5,1,0.5,12.5,8,0,100.0,3.0,Mount Airy Christian Academy,False,mount_airy_christian_academy
2019-10-15,1,2019_2019-10-15_G1,38,senior,2019,W,3-0,3.0,3.0,1.0,1,Washington International,Tuesday,False,False,3,13,4.3,37.1,35,3,0.286,1,0.3,3,0,0,0,0,0.0,0,30,0,10.0,16,1,5.3,1,0.3,5.9,17,1,94.1,11.0,Washington International,False,washington_international
2019-10-17,1,2019_2019-10-17_G1,39,senior,2019,W,3-0,3.0,3.0,1.0,1,Barrie,Thursday,False,False,3,7,2.3,70.0,10,1,0.6,0,0.0,2,0,0,0,0,0.0,0,1,0,0.3,7,0,2.3,1,0.3,16.7,6,2,66.7,3.0,Barrie,False,barrie
2019-10-18,1,2019_2019-10-18_G1,40,senior,2019,W,3-1,2.0,4.0,0.5,1,King Abdullah Academy,Friday,False,False,4,13,3.3,31.7,41,5,0.195,1,0.3,4,0,0,0,0,0.0,0,24,1,6.0,18,2,4.5,7,1.8,43.8,16,0,100.0,9.0,King Abdullah Academy,False,king_abdullah_academy
2019-10-23,1,2019_2019-10-23_G1,41,senior,2019,W,3-0,3.0,3.0,1.0,1,Varsity Opponent,Wednesday,False,False,3,6,2.0,46.2,13,1,0.385,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,10,0,3.3,7,2.3,50.0,14,1,92.9,10.0,Varsity Opponent,True,varsity_opponent
2019-10-28,1,2019_2019-10-28_G1,42,senior,2019,W,3-0,3.0,3.0,1.0,1,Sandy Spring Friends,Monday,False,False,3,10,3.3,34.5,29,6,0.138,0,0.0,2,0,0,0,0,0.0,0,9,0,3.0,13,0,4.3,9,3.0,52.9,17,1,94.1,12.0,Sandy Spring Friends,False,sandy_spring_friends
2019-10-30,1,2019_2019-10-30_G1,43,senior,2019,W,3-0,3.0,3.0,1.0,1,Washington International,Wednesday,False,False,3,14,4.7,33.3,42,5,0.214,0,0.0,3,0,0,0,0,0.0,0,13,0,4.3,14,0,4.7,5,1.7,33.3,15,3,80.0,9.0,Washington International,False,washington_international
2019-11-05,1,2019_2019-11-05_G1,44,senior,2019,W,3-0,3.0,3.0,1.0,1,Bell,Tuesday,False,False,3,8,2.7,53.3,15,2,0.4,1,0.3,2,0,0,0,0,0.0,0,10,0,3.3,12,0,4.0,4,1.3,44.4,9,3,66.7,5.0,Bell,False,bell
2019-11-06,1,2019_2019-11-06_G1,45,senior,2019,L,0-3,-3.0,3.0,-1.0,-1,St. John's,Wednesday,False,False,3,9,3.0,29.0,31,4,0.161,0,0.0,5,0,0,0,0,0.0,0,7,2,2.3,21,1,7.0,1,0.3,11.1,9,1,,,St. John's,False,st._john's
