date,match_number,match_id,match_index,season_label,season_year,result,set_result,set_diff,set_count,margin_pct,numeric_result,opponent,weekday,is_duplicate_opponent_on_date,is_tournament,sets_played,kills,kills_per_set,kill_pct,kill_att,kill_err,hit_pct,assists,assists_per_set,ball_handling_att,ball_handling_err,solo_blks,assisted_blks,total_blks,blks_per_set,blk_err,digs,dig_err,digs_per_set,receiving,receiving_err,recieving_per_set,aces,aces_per_set,ace_pct,serve_att,serve_err,serve_pct,points,opponent_original,opponent_unknown,opponent_code,career_match_index
2017-09-23,1,2017_2017-09-23_G1,11,sophomore,2017,W,2-1,1.0,3.0,0.3333333333333333,1,King Abdullah Academy,Saturday,False,True,3,8,2.7,23.5,34,6,0.059,1,0.3,0,0,0,1,1,0.3,1,15,0,5.0,12,1,4.0,2,0.7,22.2,9,1,88.9,0.0,King Abdullah Academy,False,king_abdullah_academy,45
2017-09-23,2,2017_2017-09-23_G2,12,sophomore,2017,L,1-2,-1.0,3.0,-0.3333333333333333,-1,Sidwell Friends,Saturday,False,True,3,4,1.3,25.0,16,4,0.0,0,0.0,0,0,0,0,0,0.0,0,9,0,3.0,10,2,3.3,0,0.0,0.0,4,1,75.0,0.0,Sidwell Friends,False,sidwell_friends,46
2017-09-23,3,2017_2017-09-23_G3,13,sophomore,2017,W,2-0,2.0,2.0,1.0,1,E.L. Haynes,Saturday,False,True,2,5,2.5,55.6,9,0,0.556,0,0.0,0,0,0,0,0,0.0,0,11,0,5.5,7,0,3.5,2,1.0,22.2,9,0,100.0,0.0,E.L. Haynes,False,e.l._haynes,47
2017-09-23,4,2017_2017-09-23_G4,14,sophomore,2017,L,0-2,-2.0,2.0,-1.0,-1,Jackson-Reed,Saturday,False,True,2,4,2.0,23.5,17,2,0.118,0,0.0,0,0,0,0,0,0.0,0,11,0,5.5,14,1,7.0,1,0.5,16.7,6,1,83.3,0.0,Jackson-Reed,False,jackson-reed,48
2017-09-26,1,2017_2017-09-26_G1,15,sophomore,2017,L,1-3,-2.0,4.0,-0.5,-1,Covenant Life,Tuesday,False,False,3,15,5.0,30.0,50,7,0.16,0,0.0,0,0,1,0,1,0.3,0,26,0,8.7,24,6,8.0,1,0.3,11.1,9,2,77.8,0.0,Covenant Life,False,covenant_life,49
2017-09-28,1,2017_2017-09-28_G1,16,sophomore,2017,W,3-0,3.0,3.0,1.0,1,Smith Jewish Day School,Thursday,False,False,3,13,4.3,59.1,22,4,0.409,0,0.0,0,0,0,0,0,0.0,0,8,0,2.7,8,0,2.7,3,1.0,23.1,13,1,92.3,0.0,Smith Jewish Day School,False,smith_jewish_day_school,50
2017-10-03,1,2017_2017-10-03_G1,17,sophomore,2017,L,1-3,-2.0,4.0,-0.5,-1,Washington International,Tuesday,False,False,4,21,5.3,35.6,59,4,0.288,1,0.3,0,0,0,0,0,0.0,0,20,0,5.0,27,3,6.8,3,0.8,20.0,15,2,86.7,0.0,Washington International,False,washington_international,51
2017-10-06,1,2017_2017-10-06_G1,18,sophomore,2017,L,0-2,-2.0,2.0,-1.0,-1,Texas School for the Deaf,Friday,False,True,2,2,1.0,9.5,21,6,-0.19,0,0.0,0,0,0,0,0,0.0,0,4,0,2.0,11,0,5.5,0,0.0,0.0,2,0,100.0,0.0,Texas School for the Deaf,False,texas_school_for_the_deaf,52
2017-10-06,2,2017_2017-10-06_G2,19,sophomore,2017,L,0-2,-2.0,2.0,-1.0,-1,Maryland School for the Deaf,Friday,False,True,2,2,1.0,13.3,15,2,0.0,0,0.0,0,0,0,0,0,0.0,0,5,0,2.5,15,1,7.5,2,1.0,28.6,7,1,85.7,0.0,Maryland School for the Deaf,False,maryland_school_for_the_deaf,53
2017-10-06,3,2017_2017-10-06_G3,20,sophomore,2017,W,2-1,1.0,3.0,0.3333333333333333,1,California School for the Deaf-Riverside,Friday,False,True,3,8,2.7,30.8,26,4,0.154,0,0.0,0,0,0,0,0,0.0,0,14,0,4.7,11,0,3.7,0,0.0,0.0,10,1,90.0,0.0,California School for the Deaf-Riverside,False,california_school_for_the_deaf-riverside,54
2017-10-06,4,2017_2017-10-06_G4,21,sophomore,2017,L,1-2,-1.0,3.0,-0.3333333333333333,-1,California School for the Deaf,Friday,False,True,3,9,3.0,40.9,22,3,0.273,1,0.3,0,0,0,0,0,0.0,0,11,0,3.7,15,3,5.0,0,0.0,0.0,7,0,100.0,0.0,California School for the Deaf,False,california_school_for_the_deaf,55
2017-10-07,1,2017_2017-10-07_G1,22,sophomore,2017,L,1-2,-1.0,3.0,-0.3333333333333333,-1,California School for the Deaf-Riverside,Saturday,False,True,3,6,2.0,17.6,34,8,-0.059,0,0.0,0,0,0,1,1,0.3,0,15,0,5.0,13,2,4.3,0,0.0,0.0,11,2,81.8,0.0,California School for the Deaf-Riverside,False,california_school_for_the_deaf-riverside,56
2017-10-07,2,2017_2017-10-07_G2,23,sophomore,2017,L,0-2,-2.0,2.0,-1.0,-1,Indiana School for the Deaf,Saturday,False,True,2,5,2.5,22.7,22,4,0.045,0,0.0,0,0,0,0,0,0.0,0,7,0,3.5,13,2,6.5,1,0.5,14.3,7,1,85.7,0.0,Indiana School for the Deaf,False,indiana_school_for_the_deaf,57
2017-10-07,3,2017_2017-10-07_G3,24,sophomore,2017,L,1-2,-1.0,3.0,-0.3333333333333333,-1,California School for the Deaf,Saturday,False,True,3,6,2.0,26.1,23,3,0.13,0,0.0,0,0,0,0,0,0.0,0,18,0,6.0,11,3,3.7,1,0.3,9.1,11,2,81.8,0.0,California School for the Deaf,False,california_school_for_the_deaf,58
2017-10-10,1,2017_2017-10-10_G1,25,sophomore,2017,W,3-0,3.0,3.0,1.0,1,Burke,Tuesday,False,False,3,4,1.3,23.5,17,3,0.059,0,0.0,0,0,0,0,0,0.0,0,11,0,3.7,10,1,3.3,3,1.0,33.3,9,0,100.0,0.0,Burke,False,burke,59
2017-10-12,1,2017_2017-10-12_G1,26,sophomore,2017,W,3-0,3.0,3.0,1.0,1,Clinton Grace Christian,Thursday,False,False,1,2,2.0,66.7,3,0,0.667,0,0.0,0,0,0,0,0,0.0,0,0,0,0.0,4,0,4.0,5,5.0,55.6,9,0,100.0,0.0,Clinton Grace Christian,False,clinton_grace_christian,60
2017-10-14,1,2017_2017-10-14_G1,27,sophomore,2017,W,3-0,3.0,3.0,1.0,1,Bell,Saturday,False,False,3,5,1.7,38.5,13,1,0.308,1,0.3,0,0,0,0,0,0.0,0,4,0,1.3,5,0,1.7,6,2.0,50.0,12,1,91.7,0.0,Bell,False,bell,61
2017-10-17,1,2017_2017-10-17_G1,28,sophomore,2017,W,3-0,3.0,3.0,1.0,1,Field,Tuesday,False,False,3,7,2.3,38.9,18,2,0.278,0,0.0,0,0,0,0,0,0.0,0,4,0,1.3,12,0,4.0,12,4.0,57.1,21,0,100.0,0.0,Field,False,field,62
2017-10-18,1,2017_2017-10-18_G1,29,sophomore,2017,L,0-3,-3.0,3.0,-1.0,-1,Bishop Ireton,Wednesday,False,False,3,9,3.0,29.0,31,4,0.161,0,0.0,0,0,0,1,1,0.3,0,6,0,2.0,14,2,4.7,0,0.0,0.0,5,1,80.0,0.0,Bishop Ireton,False,bishop_ireton,63
2017-10-20,1,2017_2017-10-20_G1,30,sophomore,2017,L,0-3,-3.0,3.0,-1.0,-1,King Abdullah Academy,Friday,False,False,3,3,1.0,9.4,32,7,-0.125,0,0.0,0,0,0,0,0,0.0,0,15,0,5.0,25,1,8.3,1,0.3,16.7,6,1,83.3,0.0,King Abdullah Academy,False,king_abdullah_academy,64
2017-10-23,1,2017_2017-10-23_G1,31,sophomore,2017,W,3-0,3.0,3.0,1.0,1,Washington Christian Academy,Monday,False,False,3,13,4.3,54.2,24,3,0.417,1,0.3,0,0,0,0,0,0.0,0,7,0,2.3,17,3,5.7,3,1.0,23.1,13,0,100.0,0.0,Washington Christian Academy,False,washington_christian_academy,65
2017-10-25,1,2017_2017-10-25_G1,32,sophomore,2017,W,3-0,3.0,3.0,1.0,1,Burke,Wednesday,False,False,3,10,3.3,33.3,30,7,0.1,1,0.3,0,0,0,0,0,0.0,0,4,0,1.3,16,2,5.3,5,1.7,31.3,16,1,93.8,0.0,Burke,False,burke,66
2017-10-30,1,2017_2017-10-30_G1,33,sophomore,2017,L,2-3,-1.0,5.0,-0.2,-1,Washington International,Monday,False,False,5,12,2.4,21.1,57,21,,1,0.2,0,0,0,0,0,0.0,0,20,0,4.0,36,6,7.2,4,0.8,36.4,11,2,81.8,0.0,Washington International,False,washington_international,67
2019-08-29,1,2019_2019-08-29_G1,1,senior,2019,W,3-2,1.0,5.0,0.2,1,Maret,Thursday,False,False,5,11,2.2,34.4,32,4,0.219,3,0.6,16,1,0,0,0,0.0,0,20,3,4.0,24,2,4.8,14,2.8,42.4,33,2,93.9,24.0,Maret,False,maret,68
2019-09-03,1,2019_2019-09-03_G1,2,senior,2019,W,3-0,3.0,3.0,1.0,1,DC International,Tuesday,False,False,3,10,3.3,33.3,30,7,0.1,2,0.7,13,0,1,0,1,0.3,0,14,0,4.7,12,3,4.0,6,2.0,33.3,18,2,88.9,12.0,DC International,False,dc_international,69
2019-09-05,1,2019_2019-09-05_G1,3,senior,2019,L,0-3,-3.0,3.0,-1.0,-1,Covenant Life,Thursday,False,False,3,5,1.7,14.3,35,5,0.0,0,0.0,5,0,0,0,0,0.0,1,10,2,3.3,12,3,4.0,0,0.0,0.0,6,0,100.0,1.0,Covenant Life,False,covenant_life,70
2019-09-07,1,2019_2019-09-07_G1,4,senior,2019,L,0-2,-2.0,2.0,-1.0,-1,Bishop Ireton,Saturday,False,True,2,5,2.5,23.8,21,5,0.0,0,0.0,3,0,0,0,0,0.0,0,6,0,3.0,7,1,3.5,0,0.0,0.0,7,1,85.7,3.0,Bishop Ireton,False,bishop_ireton,71
2019-09-07,2,2019_2019-09-07_G2,5,senior,2019,W,2-1,1.0,3.0,0.3333333333333333,1,Highland,Saturday,False,True,3,7,2.3,21.2,33,3,0.121,0,0.0,1,0,0,0,0,0.0,0,21,0,7.0,20,0,6.7,2,0.7,18.2,11,1,90.9,13.0,Highland,False,highland,72
2019-09-07,3,2019_2019-09-07_G3,6,senior,2019,L,1-2,-1.0,3.0,-0.3333333333333333,-1,Episcopal,Saturday,False,True,3,7,2.3,22.6,31,8,-0.032,0,0.0,5,0,0,0,0,0.0,0,9,0,3.0,13,1,4.3,3,1.0,23.1,13,1,92.3,9.0,Episcopal,False,episcopal,73
2019-09-10,1,2019_2019-09-10_G1,7,senior,2019,W,3-0,3.0,3.0,1.0,1,Spencerville Adventist Academy,Tuesday,False,False,3,6,2.0,40.0,15,0,0.4,0,0.0,4,1,0,0,0,0.0,0,12,0,4.0,16,0,5.3,5,1.7,31.3,16,3,81.2,10.0,Spencerville Adventist Academy,False,spencerville_adventist_academy,74
2019-09-12,1,2019_2019-09-12_G1,8,senior,2019,L,0-3,-3.0,3.0,-1.0,-1,Bishop Ireton,Thursday,False,False,3,4,1.3,17.4,23,2,0.087,0,0.0,4,1,0,0,0,0.0,0,10,2,3.3,15,4,5.0,0,0.0,0.0,9,0,100.0,3.0,Bishop Ireton,False,bishop_ireton,75
